email,company,city,region,referral_code,referral_link
hello@weddingsbykassidi.com,Weddings by Kassidi,Minneapolis,MN,WEDDINGSBY0380,https://cardcraft-saas.vercel.app?ref=WEDDINGSBY0380
hello@essen-events.com,Essen Events,Minneapolis,MN,ESSENEVENT0381,https://cardcraft-saas.vercel.app?ref=ESSENEVENT0381
hello@eventsbyjessmn.com,Events by Jess MN,Minneapolis,MN,EVENTSBYJE0382,https://cardcraft-saas.vercel.app?ref=EVENTSBYJE0382
hello@yesandplanning.com,yes& planning,Minneapolis,MN,YESANDPLAN0383,https://cardcraft-saas.vercel.app?ref=YESANDPLAN0383
hello@happililyevents.com,HappiLily Events,Minneapolis,MN,HAPPILILYE0384,https://cardcraft-saas.vercel.app?ref=HAPPILILYE0384
hello@naomianderson.com,Naomi Anderson Events,Minneapolis,MN,NAOMIANDER0385,https://cardcraft-saas.vercel.app?ref=NAOMIANDER0385
info@blossomandvineevents.com,Blossom and Vine Events,Minneapolis,MN,BLOSSOMAND0386,https://cardcraft-saas.vercel.app?ref=BLOSSOMAND0386
hello@maidenminnesota.com,Maiden Minnesota,Minneapolis,MN,MAIDENMINN0387,https://cardcraft-saas.vercel.app?ref=MAIDENMINN0387
hello@eventsbytaylormarie.com,Events by Taylor Marie,Minneapolis,MN,EVENTSBYTA0388,https://cardcraft-saas.vercel.app?ref=EVENTSBYTA0388
info@timberandlaceevents.com,Timber and Lace Events,Minneapolis,MN,TIMBERANDL0389,https://cardcraft-saas.vercel.app?ref=TIMBERANDL0389
info@mnweddingplanner.com,MN Wedding Planner,Minneapolis,MN,MNWEDDINGP0390,https://cardcraft-saas.vercel.app?ref=MNWEDDINGP0390
hello@beforeyoudoit.com,Before You Do Events,Minneapolis,MN,BEFOREYOUD0391,https://cardcraft-saas.vercel.app?ref=BEFOREYOUD0391
info@stellawilde.com,Stella Wilde Events,Minneapolis,MN,STELLAWILD0392,https://cardcraft-saas.vercel.app?ref=STELLAWILD0392
