email,company,city,region,referral_code,referral_link
hello@ebjandcompany.com,EBJ & Company,Nashville, TN,EBJCOMPANY0650,https://cardcraft-saas.vercel.app?ref=EBJCOMPANY0650
info@sienacoevents.com,Siena & Co. Events,Nashville, TN,SIENACOEV0651,https://cardcraft-saas.vercel.app?ref=SIENACOEV0651
hello@ittakes2eventplanners.com,It Takes 2 Event Planners,Nashville, TN,ITTAKES2EV0652,https://cardcraft-saas.vercel.app?ref=ITTAKES2EV0652
weddingsbyraina@gmail.com,Weddings & Events by Raina,Nashville, TN,WEDDINGSR0653,https://cardcraft-saas.vercel.app?ref=WEDDINGSR0653
hello@magnoliaweddingcompany.com,Magnolia Wedding Company,Nashville, TN,MAGNOLIAWC0654,https://cardcraft-saas.vercel.app?ref=MAGNOLIAWC0654
info@bellapoggioevents.com,Bella Poggio Events,Memphis, TN,BELLAPOGGI0655,https://cardcraft-saas.vercel.app?ref=BELLAPOGGI0655
info@itsyourdayweddings.net,It's Your Day! Weddings,Memphis, TN,ITSYOURDAY0656,https://cardcraft-saas.vercel.app?ref=ITSYOURDAY0656
info@danicymoneevents.com,Dani Cymone Events,Memphis, TN,DANICYMONE0657,https://cardcraft-saas.vercel.app?ref=DANICYMONE0657
info@phoenixrisingevents.com,Phoenix Rising Events,Memphis, TN,PHOENIXRI0658,https://cardcraft-saas.vercel.app?ref=PHOENIXRI0658
info@simoneeliseevents.com,Simone Elise Events,Memphis, TN,SIMONEELIS0659,https://cardcraft-saas.vercel.app?ref=SIMONEELIS0659
hello@emilyroseweddings.com,Emily Rose Weddings,Louisville, KY,EMILYROSEW0660,https://cardcraft-saas.vercel.app?ref=EMILYROSEW0660
info@thekellywayllc.com,The Kelly Way,Louisville, KY,THEKELLYWY0661,https://cardcraft-saas.vercel.app?ref=THEKELLYWY0661
hello@heleringerevents.com,Heleringer Events,Louisville, KY,HELERINGER0662,https://cardcraft-saas.vercel.app?ref=HELERINGER0662
hello@worthyeventplanning.com,Worthy Events,Louisville, KY,WORTHYEVEN0663,https://cardcraft-saas.vercel.app?ref=WORTHYEVEN0663
info@shafox.com,ShaFox Weddings & Events,Louisville, KY,SHaFOXWED0664,https://cardcraft-saas.vercel.app?ref=SHaFOXWED0664
hello@acharmingfete.com,A Charming Fête,Cleveland, OH,ACHARMINGF0665,https://cardcraft-saas.vercel.app?ref=ACHARMINGF0665
