email,company,city,region,referral_code,referral_link
andri.benson@alwaysandri.co.uk,Always Andri,London,United Kingdom,ALWAYSAND0751,https://cardcraft-saas.vercel.app?ref=ALWAYSAND0751
rebecca@wearegetwed.com,Get Wed,London,United Kingdom,GETWED0752,https://cardcraft-saas.vercel.app?ref=GETWED0752
jane@plannedforperfection.co.uk,Planned for Perfection,London,United Kingdom,PLANNEDPERF0753,https://cardcraft-saas.vercel.app?ref=PLANNEDPERF0753
info@bespoke-london.co.uk,Bespoke London,London,United Kingdom,BESPOKELON0754,https://cardcraft-saas.vercel.app?ref=BESPOKELON0754
hello@bychenai.com,ByChenai Events,London,United Kingdom,BYCHENAI0755,https://cardcraft-saas.vercel.app?ref=BYCHENAI0755
hello@matthewoliverweddings.com,Matthew Oliver Weddings,London,United Kingdom,MATTHEWOLIV0756,https://cardcraft-saas.vercel.app?ref=MATTHEWOLIV0756
info@camillaboniekevents.com,Camilla Boniek Events,London,United Kingdom,CAMILLABON0757,https://cardcraft-saas.vercel.app?ref=CAMILLABON0757
hello@helenairsthwaite.com,Helena Rirsthwaite Weddings,London,United Kingdom,HELENAIRST0758,https://cardcraft-saas.vercel.app?ref=HELENAIRST0758
info@zohrahday.co.uk,Zohrah Day Weddings,London,United Kingdom,ZOHRAHDAY0759,https://cardcraft-saas.vercel.app?ref=ZOHRAHDAY0759
hello@wonderlustevents.co.uk,Wonderlust Events,London,United Kingdom,WONDERLUST0760,https://cardcraft-saas.vercel.app?ref=WONDERLUST0760
info@myamazingevents.co.uk,My Amazing Events,London,United Kingdom,MYAMAZING0761,https://cardcraft-saas.vercel.app?ref=MYAMAZING0761
hello@busybrides.co.uk,BusyBrides Wedding Planners,London,United Kingdom,BUSYBRIDES0762,https://cardcraft-saas.vercel.app?ref=BUSYBRIDES0762
hello@helainastorey.co.uk,Helaina Storey Wedding Design,London,United Kingdom,HELAINAST0763,https://cardcraft-saas.vercel.app?ref=HELAINAST0763
hello@pocketfulofdreams.co.uk,Pocketful of Dreams,London,United Kingdom,POCKETFUL0764,https://cardcraft-saas.vercel.app?ref=POCKETFUL0764
info@inaweevents.co.uk,In-Awe Weddings & Events,London,United Kingdom,INAWE0765,https://cardcraft-saas.vercel.app?ref=INAWE0765
emily@cieloevents.co.uk,Cielo Events,Manchester,United Kingdom,CIELOEVENT0766,https://cardcraft-saas.vercel.app?ref=CIELOEVENT0766
kate@kateparkevents.co.uk,Kate Park Events,Manchester,United Kingdom,KATEPARK0767,https://cardcraft-saas.vercel.app?ref=KATEPARK0767
hello@charlotteelise.co.uk,Charlotte Elise Weddings,Manchester,United Kingdom,CHARLOTTE0768,https://cardcraft-saas.vercel.app?ref=CHARLOTTE0768
hello@heleneriksenweddings.com,Helen Eriksen Wedding & Event Design,Manchester,United Kingdom,HELENERIK0769,https://cardcraft-saas.vercel.app?ref=HELENERIK0769
info@victoriaroseevents.co.uk,Victoria Rose Weddings,Manchester,United Kingdom,VICTORIAR0770,https://cardcraft-saas.vercel.app?ref=VICTORIAR0770
hello@creativevenuestyling.co.uk,Creative Venue Styling,Manchester,United Kingdom,CREATIVEVE0771,https://cardcraft-saas.vercel.app?ref=CREATIVEVE0771
info@weddingsbyfairydust.co.uk,Weddings by Fairydust,Manchester,United Kingdom,FAIRYDUST0772,https://cardcraft-saas.vercel.app?ref=FAIRYDUST0772
hello@lisasimpsonweddings.com,Lisa Simpson Weddings,Edinburgh,United Kingdom,LISASIMPS0773,https://cardcraft-saas.vercel.app?ref=LISASIMPS0773
info@scottishweddingplanner.co.uk,Scottish Wedding Planner,Edinburgh,United Kingdom,SCOTTISHW0774,https://cardcraft-saas.vercel.app?ref=SCOTTISHW0774
hello@loveatfirstbride.co.uk,Love at First Bride,Edinburgh,United Kingdom,LOVEATFIR0775,https://cardcraft-saas.vercel.app?ref=LOVEATFIR0775
info@bohoweddings.co.uk,Boho Weddings Scotland,Edinburgh,United Kingdom,BOHOWEDDI0776,https://cardcraft-saas.vercel.app?ref=BOHOWEDDI0776
hello@thescottishweddingco.com,The Scottish Wedding Co,Edinburgh,United Kingdom,SCOTTISHCO0777,https://cardcraft-saas.vercel.app?ref=SCOTTISHCO0777
hello@onefabday.com,One Fab Day,Dublin,Ireland,ONEFABDAY0778,https://cardcraft-saas.vercel.app?ref=ONEFABDAY0778
info@weddingplanner.ie,Wedding Planner Ireland,Dublin,Ireland,WPLANNERIE0779,https://cardcraft-saas.vercel.app?ref=WPLANNERIE0779
hello@thedublinweddingco.com,The Dublin Wedding Co,Dublin,Ireland,DUBLINWEDC0780,https://cardcraft-saas.vercel.app?ref=DUBLINWEDC0780
info@belovedweddings.ie,Beloved Weddings,Dublin,Ireland,BELOVEDWE0781,https://cardcraft-saas.vercel.app?ref=BELOVEDWE0781
hello@loveandlizard.ie,Love & Lizard,Dublin,Ireland,LOVELIZARD0782,https://cardcraft-saas.vercel.app?ref=LOVELIZARD0782
info@everafter.ie,Ever After Weddings,Dublin,Ireland,EVERAFTER0783,https://cardcraft-saas.vercel.app?ref=EVERAFTER0783
bonjour@leplandel.fr,Le Plan Del,Paris,France,LEPLANDEL0784,https://cardcraft-saas.vercel.app?ref=LEPLANDEL0784
contact@mariageparfait.fr,Mariage Parfait,Paris,France,MARIAGEPA0785,https://cardcraft-saas.vercel.app?ref=MARIAGEPA0785
bonjour@cedricmongiello.com,Cédric Mongiello Events,Paris,France,CEDRICMON0786,https://cardcraft-saas.vercel.app?ref=CEDRICMON0786
