email,company,city,region,referral_code,referral_link
info@karlacasillas.com,Karla Casillas & Co.,Cabo San Lucas,Mexico,KARLACAS0901,https://cardcraft-saas.vercel.app?ref=KARLACAS0901
hello@thecaboweddingco.com,The Cabo Wedding Co.,Cabo San Lucas,Mexico,CABOWEDCO0902,https://cardcraft-saas.vercel.app?ref=CABOWEDCO0902
info@romanticcaboweddings.com,Romantic Cabo Weddings,Cabo San Lucas,Mexico,ROMANTIC0903,https://cardcraft-saas.vercel.app?ref=ROMANTIC0903
info@creativedestinationevents.com,Creative Destination Events,Cabo San Lucas,Mexico,CREATIVD0904,https://cardcraft-saas.vercel.app?ref=CREATIVD0904
hello@caboweddingservices.com,Cabo Wedding Services,Cabo San Lucas,Mexico,CABOWEDS0905,https://cardcraft-saas.vercel.app?ref=CABOWEDS0905
info@vowsincabo.com,Vows in Cabo,Cabo San Lucas,Mexico,VOWSINCA0906,https://cardcraft-saas.vercel.app?ref=VOWSINCA0906
info@allureventscabo.com,Allure Events Cabo,Cabo San Lucas,Mexico,ALLUREVE0907,https://cardcraft-saas.vercel.app?ref=ALLUREVE0907
info@aspenivy.com,Aspen & Ivy,Cabo San Lucas,Mexico,ASPENIVY0908,https://cardcraft-saas.vercel.app?ref=ASPENIVY0908
wed@vallartaweddings.com,Vallarta Weddings,Puerto Vallarta,Mexico,VALLARTA0909,https://cardcraft-saas.vercel.app?ref=VALLARTA0909
hello@vallartavows.com,Vallarta Vows,Puerto Vallarta,Mexico,VALLARTV0910,https://cardcraft-saas.vercel.app?ref=VALLARTV0910
hello@eventives.com.mx,Eventives Destination Weddings,Puerto Vallarta,Mexico,EVENTIVE0911,https://cardcraft-saas.vercel.app?ref=EVENTIVE0911
barbara@weddingsvallartabybarbara.com,Weddings Vallarta by Barbara,Puerto Vallarta,Mexico,WEDVALBA0912,https://cardcraft-saas.vercel.app?ref=WEDVALBA0912
info@youniquebykelley.com,Younique by Kelley,Puerto Vallarta,Mexico,YOUNIQUE0913,https://cardcraft-saas.vercel.app?ref=YOUNIQUE0913
info@vallartaweddingsplanner.com,Vallarta Wedding Planners,Puerto Vallarta,Mexico,VALLAWPL0914,https://cardcraft-saas.vercel.app?ref=VALLAWPL0914
hello@lunalifeweddings.com,Luna Life Weddings,Tulum,Mexico,LUNALIFE0915,https://cardcraft-saas.vercel.app?ref=LUNALIFE0915
weddingsinplayadelcarmen@gmail.com,Dream Weddings Riviera Maya,Playa del Carmen,Mexico,DREAMWRM0916,https://cardcraft-saas.vercel.app?ref=DREAMWRM0916
hello@weddingsrivieramaya.com,Weddings Riviera Maya,Riviera Maya,Mexico,WEDSRIVM0917,https://cardcraft-saas.vercel.app?ref=WEDSRIVM0917
info@beautyweddings.com,Beauty Weddings,Cancun,Mexico,BEAUTYW0918,https://cardcraft-saas.vercel.app?ref=BEAUTYW0918
contact@soswplanners.com,SOS Wedding Planners,Cancun,Mexico,SOSWPLAN0919,https://cardcraft-saas.vercel.app?ref=SOSWPLAN0919
hello@mangoweddings.com,Mango Weddings & Events,Cancun,Mexico,MANGOWED0920,https://cardcraft-saas.vercel.app?ref=MANGOWED0920
info@paradiseweddings.com,Paradise Weddings,Cancun,Mexico,PARADISE0921,https://cardcraft-saas.vercel.app?ref=PARADISE0921
info@vfldestinationweddings.com,VFL Destination Weddings,Cancun,Mexico,VFLDESTI0922,https://cardcraft-saas.vercel.app?ref=VFLDESTI0922
info@paradiseweddingsandevents.com,Paradise Weddings & Events,Riviera Maya,Mexico,PARADWED0923,https://cardcraft-saas.vercel.app?ref=PARADWED0923
info@chiceventsja.com,Chic Events Jamaica,Jamaica,Jamaica,CHICEVEN0924,https://cardcraft-saas.vercel.app?ref=CHICEVEN0924
info@eventswelegance.com,Events with Elegance,Jamaica,Jamaica,EVENTSEL0925,https://cardcraft-saas.vercel.app?ref=EVENTSEL0925
info@tropicalweddingsjamaica.com,Tropical Weddings Jamaica,Jamaica,Jamaica,TROPICAL0926,https://cardcraft-saas.vercel.app?ref=TROPICAL0926
info@terrievents.com,Terri Events,Jamaica,Jamaica,TERRIEVE0927,https://cardcraft-saas.vercel.app?ref=TERRIEVE0927
